Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,SG [Stage]
Parameter Type,Stage
Time series name,tsm(CLA/730507/SG/15m.Cmd.RelAbs.P);Round(3)
Time series unit,m
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m],State of value,Interpolation,Absolute value [mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
02/12/2015 07:30:00,1.548,G;Ed,102,42.388,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 07:45:00,1.549,G;Ed,102,42.389,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:00:00,1.543,G;Ed,102,42.383,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:15:00,1.542,G;Ed,102,42.382,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:30:00,1.546,G;Ed,102,42.386,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:45:00,1.544,G;Ed,102,42.384,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 09:00:00,1.545,G;Ed,102,42.385,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 09:15:00,1.549,G;Ed,102,42.389,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 09:30:00,1.549,G;Ed,102,42.389,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 09:45:00,1.556,G;Ed,102,42.396,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 10:00:00,1.559,G;Ed,102,42.399,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 10:15:00,1.561,G;Ed,102,42.401,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 10:30:00,1.567,G;Ed,102,42.407,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 10:45:00,1.576,G;Ed,102,42.416,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 11:00:00,1.592,G;Ed,102,42.432,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
